serial,player_name,club,position,total_attempts,on_target,off_target,blocked,match_played
440,Syrota,Dynamo Kyiv,Defender,1,0,1,0,5
440,Paredes,Paris,Midfielder,1,0,1,0,5
440,Romagnoli,Milan,Defender,1,0,1,0,5
440,Shaw,Man. United,Defender,1,0,1,0,5
440,Aurier,Villarreal,Defender,1,0,1,0,5
440,Guilavogui,Wolfsburg,Midfielder,1,0,1,0,5
440,Lovren,Zenit,Defender,1,0,1,0,4
440,Simakan,Leipzig,Defender,1,0,1,0,4
440,Haidara,Leipzig,Midfielder,1,0,1,0,4
440,Wendell,Porto,Defender,1,0,1,0,4
440,Herrera,Atlético,Midfielder,1,0,1,0,4
440,Calabria,Milan,Defender,1,0,1,0,4
440,Larsson,Malmö,Defender,1,0,1,0,4
440,Cavani,Man. United,Forward,1,0,1,0,4
440,Stepanenko,Shakhtar Donetsk,Midfielder,1,0,1,0,4
440,Vitinho,Dynamo Kyiv,Midfielder,1,0,1,0,3
440,Lefort,Young Boys,Defender,1,0,1,0,3
440,Knauff,Dortmund,Midfielder,1,0,1,0,3
440,Tagliafico,Ajax,Defender,1,0,1,0,3
440,Maceiras,Young Boys,Defender,1,0,1,0,3
440,Icardi,Paris,Forward,1,0,1,0,3
440,Meite,Benfica,Midfielder,1,0,1,0,3
440,Alex Teixeira,Beşiktaş,Midfielder,1,0,1,0,3
440,Kampl,Leipzig,Midfielder,1,0,1,0,3
440,Pedri,Barcelona,Midfielder,1,0,1,0,2
440,Flávio Nazinho,Sporting CP,Defender,1,0,1,0,2
440,Balde,Barcelona,Defender,1,0,1,0,2
440,Kudus,Ajax,Midfielder,1,0,1,0,2
440,Korniienko,Shakhtar Donetsk,Defender,1,0,1,0,2
440,Philipp,Wolfsburg,Forward,1,0,1,0,2
440,Fábio Cardoso,Porto,Defender,1,0,1,0,2
440,Serdar Saatçı,Beşiktaş,Defender,1,0,1,0,1
440,Maier,Young Boys,Midfielder,1,0,1,0,1
440,Miguel Gutiérrez,Real Madrid,Defender,1,0,1,0,1
440,Bondar,Shakhtar Donetsk,Defender,1,0,1,0,1
440,Óscar Rodríguez,Sevilla,Midfielder,1,0,1,0,1
440,Lustenberger,Young Boys,Defender,1,0,1,0,1
440,Estupiñán,Villarreal,Defender,1,0,0,1,10
440,Capaldo,Salzburg,Midfielder,1,0,0,1,7
440,De Ligt,Juventus,Defender,1,0,0,1,7
440,Wan-Bissaka,Man. United,Defender,1,0,0,1,6
440,Barrios,Zenit,Midfielder,1,0,0,1,6
440,Krugovoi,Zenit,Defender,1,0,0,1,6
440,Toni Martínez,Porto,Forward,1,0,0,1,6
440,Marcos Antônio,Shakhtar Donetsk,Midfielder,1,0,0,1,5
440,Gerhardt,Wolfsburg,Midfielder,1,0,0,1,5
440,Mambimbi,Young Boys,Forward,1,0,0,1,4
440,Yusuf Yazıcı,LOSC,Midfielder,1,0,0,1,4
440,Delaney,Sevilla,Midfielder,1,0,0,1,4
440,N'Sakala,Beşiktaş,Defender,1,0,0,1,3
440,Ben Arfa,LOSC,Midfielder,1,0,0,1,2
440,Nanasi,Malmö,Midfielder,1,0,0,1,2
440,Francisco Conceição,Porto,Forward,1,0,0,1,2
440,Passlack,Dortmund,Midfielder,1,0,0,1,2
440,Kuznetsov,Zenit,Forward,1,0,0,1,1
440,Esteves,Sporting CP,Defender,1,0,0,1,1
440,Šimić,Salzburg,Forward,1,0,0,1,1
440,Dina Ebimbe,Paris,Midfielder,1,0,0,1,1
440,N'Koudou,Beşiktaş,Midfielder,1,0,0,1,1
440,Izquierdo,Club Brugge,Forward,1,0,0,1,1
440,Radonjić,Benfica,Forward,1,0,0,1,1
440,Agüero,Barcelona,Forward,1,0,0,1,1
