serial,player_name,club,position,fouls_committed,fouls_suffered,red,yellow,minutes_played,match_played
417,Oxlade-Chamberlain,Liverpool,Midfielder,2,2,0,0,300,6
417,Weah,LOSC,Forward,2,2,0,0,255,5
417,Dahoud,Dortmund,Midfielder,2,2,0,0,212,4
417,Haaland,Dortmund,Forward,2,2,0,0,203,3
417,Bailly,Man. United,Defender,2,2,0,0,180,2
417,Mostovoy,Zenit,Midfielder,2,2,0,0,150,5
417,Erokhin,Zenit,Midfielder,2,2,0,0,104,6
417,Ballo,Milan,Defender,2,2,0,0,91,2
417,Supryaha,Dynamo Kyiv,Forward,2,2,0,0,81,2
417,L. Nielsen,Malmö,Defender,2,1,2,0,450,5
417,Verissimo,Benfica,Defender,2,1,1,0,270,3
417,Pašalić,Atalanta,Midfielder,2,1,1,0,220,5
417,Cavani,Man. United,Forward,2,1,1,0,75,4
417,Kjær,Milan,Defender,2,1,0,0,270,3
417,Necip Uysal,Beşiktaş,Midfielder,2,1,0,0,189,3
417,Chilwell,Chelsea,Defender,2,1,0,0,188,4
417,Pedri,Barcelona,Midfielder,2,1,0,0,158,2
417,Lázaro,Benfica,Midfielder,2,1,0,0,114,6
417,Ranocchia,Inter,Defender,2,1,0,0,98,3
417,Dost,Club Brugge,Forward,2,1,0,0,68,3
417,Choupo-Moting,Bayern,Midfielder,2,1,0,0,49,4
417,Lovren,Zenit,Defender,2,0,2,0,315,4
417,Karavaev,Zenit,Defender,2,0,1,0,299,4
417,Fassnacht,Young Boys,Midfielder,2,0,1,0,269,3
417,Schuurs,Ajax,Defender,2,0,1,0,146,3
417,Waldschmidt,Wolfsburg,Forward,2,0,1,0,119,3
417,Rebić,Milan,Forward,2,0,1,0,117,2
417,Slimani,Sporting CP,Forward,2,0,1,0,104,2
417,Zagadou,Dortmund,Defender,2,0,1,0,97,2
417,Kjærgaard,Salzburg,Midfielder,2,0,1,0,38,4
417,Moukoko,Dortmund,Forward,2,0,1,0,20,1
417,Asensio,Real Madrid,Forward,2,0,0,0,207,8
417,Schulz,Dortmund,Defender,2,0,0,0,195,4
417,Salih Uçan,Beşiktaş,Midfielder,2,0,0,0,109,5
417,Gosens,Atalanta,Midfielder,2,0,0,0,101,2
417,Phillips,Liverpool,Defender,2,0,0,0,91,2
417,Jovane Cabral,Sporting CP,Forward,2,0,0,0,79,3
417,Rensch,Ajax,Defender,2,0,0,0,71,5
417,Delap,Man. City,Forward,2,0,0,0,6,1
491,Fernandinho,Man. City,Midfielder,1,12,1,0,347,8
491,De Ketelaere,Club Brugge,Forward,1,11,0,0,500,6
491,Iličić,Atalanta,Midfielder,1,11,0,0,249,4
491,Birmančević,Malmö,Midfielder,1,10,0,0,356,6
491,Kolovos,Sheriff,Midfielder,1,8,1,0,405,6
491,Carrasco,Atlético,Forward,1,7,0,1,472,7
491,Meite,Benfica,Midfielder,1,7,0,0,155,3
491,Ronald Araújo,Barcelona,Defender,1,5,1,0,367,5
491,Gómez,Sevilla,Forward,1,5,0,0,322,5
491,Tagliafico,Ajax,Defender,1,5,0,0,139,3
491,Bakayoko,Milan,Defender,1,4,1,0,56,3
491,Ismaily,Shakhtar Donetsk,Defender,1,4,0,0,355,5
491,João Mário,Porto,Forward,1,4,0,0,351,4
491,Trippier,Atlético,Defender,1,4,0,0,220,3
491,Bürgy,Young Boys,Defender,1,4,0,0,180,2
491,Gomes,LOSC,Midfielder,1,4,0,0,168,4
491,Coutinho,Barcelona,Forward,1,4,0,0,109,4
491,Vitinho,Dynamo Kyiv,Midfielder,1,4,0,0,93,3
491,Diego Carlos,Sevilla,Defender,1,3,2,0,539,6
491,Coates,Sporting CP,Defender,1,3,1,0,540,6
491,Botman,LOSC,Defender,1,3,1,0,418,5
491,Jović,Real Madrid,Forward,1,3,1,0,113,3
491,Shoretire,Man. United,Midfielder,1,3,1,0,22,1
491,Dzyuba,Zenit,Forward,1,3,0,0,277,6
491,Onana,LOSC,Midfielder,1,3,0,0,257,8
491,Szoboszlai,Leipzig,Midfielder,1,3,0,0,209,4
491,Karavaev,Dynamo Kyiv,Defender,1,3,0,0,154,6
491,E. Hazard,Real Madrid,Forward,1,3,0,0,84,3
491,Darmian,Inter,Defender,1,2,1,0,196,5
491,Montiel,Sevilla,Defender,1,2,1,0,186,4
491,Ibrahimović,Milan,Forward,1,2,1,0,160,4
491,Akanji,Dortmund,Defender,1,2,0,0,450,5
491,Meraş,Beşiktaş,Defender,1,2,0,0,253,3
491,Nuno Santos,Sporting CP,Forward,1,2,0,0,218,7
491,Yansané,Sheriff,Forward,1,2,0,0,156,3
491,Rıdvan Yılmaz,Beşiktaş,Defender,1,2,0,0,135,2
491,Dembélé,Barcelona,Forward,1,2,0,0,122,3
491,Maceiras,Young Boys,Defender,1,2,0,0,113,3
491,Correa,Inter,Forward,1,2,0,0,106,5
491,Fábio Vieira,Porto,Midfielder,1,2,0,0,85,2
491,Bondarenko,Shakhtar Donetsk,Midfielder,1,2,0,0,84,2
491,Esteves,Sporting CP,Defender,1,2,0,0,73,1
491,Krugovoi,Zenit,Defender,1,2,0,0,68,6
491,Pezzella,Atalanta,Defender,1,2,0,0,56,3
491,McAtee,Man. City,Midfielder,1,2,0,0,45,1
491,Arboleda,Sheriff,Defender,1,1,1,0,540,6
491,Savić,Atlético,Defender,1,1,1,0,450,5
491,Rieks,Malmö,Midfielder,1,1,1,0,222,3
491,Moisander,Malmö,Defender,1,1,1,0,187,3
491,Gagliardini,Inter,Midfielder,1,1,1,0,66,5
491,Ben Arfa,LOSC,Midfielder,1,1,1,0,22,2
491,Emre Can,Dortmund,Defender,1,1,0,1,74,2
491,Sutormin,Zenit,Midfielder,1,1,0,0,293,4
491,Mehmet Topal,Beşiktaş,Midfielder,1,1,0,0,261,3
491,Morton,Liverpool,Midfielder,1,1,0,0,180,2
491,L. de Jong,Barcelona,Forward,1,1,0,0,179,3
491,Aurier,Villarreal,Defender,1,1,0,0,129,5
491,Demir,Barcelona,Midfielder,1,1,0,0,101,3
491,Traoré,Shakhtar Donetsk,Forward,1,1,0,0,101,2
491,Florenzi,Milan,Defender,1,1,0,0,88,4
491,Piątkowski,Salzburg,Defender,1,1,0,0,84,2
491,De Winter,Juventus,Defender,1,1,0,0,81,2
491,Kanga,Young Boys,Forward,1,1,0,0,75,5
491,Diallo,Man. United,Midfielder,1,1,0,0,68,1
491,Sudakov,Shakhtar Donetsk,Midfielder,1,1,0,0,56,2
491,F. Nmecha,Wolfsburg,Midfielder,1,1,0,0,36,2
491,Al. Miranchuk,Atalanta,Forward,1,1,0,0,33,2
491,Dahlin,Malmö,Goalkeeper,1,0,1,0,315,4
491,Vitão,Shakhtar Donetsk,Defender,1,0,1,0,90,1
491,Kehrer,Paris,Defender,1,0,1,0,70,4
491,Lovato,Atalanta,Defender,1,0,1,0,45,1
491,Francisco Conceição,Porto,Forward,1,0,1,0,37,2
491,Peña,Villarreal,Defender,1,0,1,0,18,2
491,Cojocaru,Sheriff,Midfielder,1,0,1,0,15,2
491,Ramsey,Juventus,Midfielder,1,0,1,0,14,2
491,Dentinho,Shakhtar Donetsk,Midfielder,1,0,1,0,4,1
491,Bounou,Sevilla,Goalkeeper,1,0,0,0,540,6
491,Gomez,Liverpool,Defender,1,0,0,0,245,7
491,Kryvtsov,Shakhtar Donetsk,Defender,1,0,0,0,192,3
491,Morato,Benfica,Defender,1,0,0,0,180,2
491,Pongračić,Dortmund,Defender,1,0,0,0,170,5
491,Marcelo,Real Madrid,Defender,1,0,0,0,93,3
491,Egan-Riley,Man. City,Defender,1,0,0,0,90,1
491,Bondar,Shakhtar Donetsk,Defender,1,0,0,0,90,1
491,Alcácer,Villarreal,Forward,1,0,0,0,73,3
491,Ferran Torres,Man. City,Forward,1,0,0,0,71,1
491,Henrichs,Leipzig,Defender,1,0,0,0,51,4
491,Radonjić,Benfica,Forward,1,0,0,0,31,1
491,Balde,Barcelona,Defender,1,0,0,0,19,2
491,Eric Ramirez,Dynamo Kyiv,Forward,1,0,0,0,16,2
491,Bradarić,LOSC,Defender,1,0,0,0,13,1
491,Iborra,Villarreal,Midfielder,1,0,0,0,10,1
491,Zhegrova,LOSC,Midfielder,1,0,0,0,9,1
491,Chiellini,Juventus,Defender,1,0,0,0,7,1
